id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000433,2000433,"   433 Eros (A898 PA)",433,Eros,,Y,N,10.4,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.270,4.463e-04,0.921,0.531,,S,S,,0.06,"JPL 658",2459000.5,59000,20200531.0000000,J2000,.2229512647434284,1.458045729081037,1.132972589728666,10.83054121829922,304.2993259000444,178.8822959227224,271.0717325705167,1.783118868433408,.5598186418120109,2459159.351922368362,20201105.8519224,643.0654021001488,1.76061711731731,.148623,57.83961291,3.2865,4.582,9.6497E-9,2.1374E-10,1.4063E-8,1.1645E-6,3.8525E-6,4.088E-6,1.4389E-6,2.6139E-10,1.231E-10,2.5792E-6,1.414E-7,AMO,Giorgini,46330,1893-10-29,2020-09-03,8767,4,2,0,.28397,,,,,
a0000719,2000719,"   719 Albert (A911 TB)",719,Albert,,Y,N,15.5,,,,,,,,,,5.801,,,,,S,,,,"JPL 214",2459000.5,59000,20200531.0000000,J2000,.5465584653041263,2.63860206439375,1.196451769530403,11.56748478123323,183.8669499802364,156.17633771,140.2734217745985,4.080752359257098,.2299551959241748,2458390.496728663387,20180928.9967287,1565.522355575327,4.28616661348481,.203482,79.18908994,1.41794,3.140,2.1784E-8,2.5313E-9,5.8116E-8,2.9108E-6,1.6575E-5,1.6827E-5,2.5213E-6,3.9148E-9,3.309E-10,1.0306E-5,2.2528E-6,AMO,"Otto Matic",39593,1911-10-04,2020-02-27,1874,,,0,.39148,,,,,
a0000887,2000887,"   887 Alinda (A918 AA)",887,Alinda,,Y,N,13.8,-0.12,,,,,,4.2,,0.31,73.97,,0.832,0.436,,,S,,,"JPL 266",2459000.5,59000,20200531.0000000,J2000,.5703317184308986,2.473736929707675,1.062886295641521,9.393855031979152,110.4342521969208,350.4955456805043,294.5791651788778,3.884587563773828,.2533225231442171,2459258.751157493319,20210213.2511575,1421.113273039094,3.89079609319396,.082217,31.99638989,1.31457,3.221,4.3543E-8,6.0468E-9,1.0944E-7,4.6115E-6,2.6493E-5,2.7378E-5,9.6421E-6,9.4955E-9,9.2884E-10,3.8951E-5,5.2107E-6,AMO,"Otto Matic",37472,1918-02-03,2020-09-07,1424,,,0,.48159,,,,,
a0001036,2001036,"  1036 Ganymed (A924 UB)",1036,Ganymed,,Y,N,9.4,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,S,S,,0.399,"JPL 794",2459000.5,59000,20200531.0000000,J2000,.5330461170258332,2.664724624258409,1.244303510354342,26.67764140004,215.5468276713862,132.3646326521057,4.817744371561909,4.085145738162476,.2265820861894486,2458979.237311265050,20200509.7373113,1588.828164019104,4.34997443947736,.344956,134.24652652,1.9529,3.035,2.4193E-8,2.0851E-9,6.4477E-8,4.0473E-6,7.1529E-6,7.5739E-6,2.3009E-6,3.1965E-9,2.6594E-10,1.0137E-5,1.8648E-6,AMO,"Otto Matic",35027,1924-10-23,2020-09-16,6249,0,1,0,.38525,,,,,
a0001221,2001221,"  1221 Amor (1932 EA1)",1221,Amor,,Y,N,17.7,,,,,,,1.0,,,,,,,,,,,,"JPL 101",2459000.5,59000,20200531.0000000,J2000,.4352849480969389,1.919498150734781,1.083969497820022,11.8765395826284,171.3270073161356,26.69479191018597,38.52241014417849,2.755026803649541,.3706146024716492,2458896.558034715118,20200217.0580347,971.3594596627876,2.65943726122598,.107451,41.81670567,2.21364,3.781,3.4983E-8,9.5616E-10,6.7525E-8,4.9915E-6,2.362E-5,2.5439E-5,8.1275E-6,1.3724E-9,2.7692E-10,2.1913E-5,7.258E-7,AMO,"Otto Matic",32319,1932-03-12,2020-09-05,540,,,0,.45568,,,,,
a0001566,2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.9,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"JPL 119",2459000.5,59000,20200531.0000000,J2000,.8270213517584103,1.078168924356222,.186500203111228,22.82210584381254,87.9975459324354,31.39333873322229,192.0831791807477,1.969837645601215,.8803874816638403,2459191.230586607055,20201207.7305866,408.9108574324997,1.11953691288843,.0342447,13.327009899,3.21481,5.298,3.1066E-8,2.7933E-9,3.3477E-8,1.0278E-5,3.6595E-6,5.932E-6,6.1861E-6,5.1034E-9,3.4213E-9,7.7365E-6,1.5891E-6,APO,"Otto Matic",26002,1949-07-01,2020-09-08,1052,10,13,0,.34334,,,-3.052890990344277E-15,,
a0001580,2001580,"  1580 Betulia (1950 KA)",1580,Betulia,,Y,N,14.7,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,"JPL 231",2459000.5,59000,20200531.0000000,J2000,.4873502364761739,2.197150031438465,1.126368444043296,52.09207037962277,62.29781712181257,159.5179483080446,195.0724539815504,3.267931618833634,.3026317600165265,2459545.477652079356,20211126.9776521,1189.564505656448,3.25685011815592,.136136,52.98004712,1.86223,3.065,2.2741E-8,2.7446E-10,5.0021E-8,9.5166E-6,2.5227E-6,7.2733E-6,2.1045E-6,4.0821E-10,5.6705E-11,6.9886E-6,2.2289E-7,AMO,"Otto Matic",25404,1950-05-22,2019-12-10,1220,5,6,0,.51862,,,,,
a0001620,2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.3,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"JPL 609",2459000.5,59000,20200531.0000000,J2000,.3354548020109591,1.245666863784177,.8278019326218434,13.3370434846758,337.1869752155534,276.956067645158,235.1126416339228,1.66353179494651,.7089264923814854,2459176.664044803214,20201123.1640448,507.8100534664147,1.39030815459662,.0303535,11.812671595,3.45747,5.074,1.1323E-8,1.5884E-10,1.4171E-8,2.5705E-6,2.6329E-6,3.4911E-6,3.0666E-6,2.1212E-10,1.3559E-10,4.3566E-6,9.7128E-8,APO,"Otto Matic",25024,1951-08-31,2020-03-05,4793,3,4,0,.40639,,,,,
a0001627,2001627,"  1627 Ivar (1929 SH)",1627,Ivar,,Y,N,12.7,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,S,S,,,"JPL 1011",2459000.5,59000,20200531.0000000,J2000,.3967830583744957,1.86327294504367,1.123957807322788,8.451869889021321,133.1193427586828,167.7934626032436,256.5069001498996,2.602588082764551,.3875157486110295,2459267.568113285847,20210222.0681133,928.9945022630588,2.54344832926231,.111952,43.56835984,2.65747,3.879,1.3337E-8,1.815E-10,2.4798E-8,2.3953E-6,1.4166E-5,1.4064E-5,1.1972E-6,2.5352E-10,5.6622E-11,3.0829E-6,1.3574E-7,AMO,"Otto Matic",33143,1929-09-25,2020-06-22,7298,3,1,0,.35876,,,,,
a0001685,2001685,"  1685 Toro (1948 OA)",1685,Toro,,Y,N,14.3,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,"JPL 491",2459000.5,59000,20200531.0000000,J2000,.4358371101234201,1.367586471676899,.7715415360173549,9.383132281270342,274.2452382733312,127.2065882952966,290.2506511775094,1.963631407336444,.6162712104327692,2459113.679632021931,20200921.1796320,584.1583930996781,1.59933851635778,.0506645,19.717103465,3.47931,4.715,5.7556E-9,8.1654E-10,7.8405E-9,3.3104E-6,1.6385E-5,1.6564E-5,2.0642E-6,1.1724E-9,5.5193E-10,3.3759E-6,5.2317E-7,APO,"Otto Matic",26348,1948-07-17,2020-09-05,3002,7,2,0,.32086,,,-3.097775713788239E-15,,
